Title,Company,Date Posted,Experience,Skills/Desc,Link
Data Scientist at Strathmore Business School,View Jobs at Strathmore Business School,"Data Scientist at Strathmore Business SchoolView Jobs in Education / Teaching/View Jobs at Strathmore Business School:Dec 20, 2025Deadline:Dec 31, 2025SaveEmail","3+ years of experience in data science, analytics, or applied research.  working",N/A,https://www.myjobmag.co.ke/job/data-scientist-strathmore-business-school
Data Analyst at Strathmore Business School,View Jobs at Strathmore Business School,"Data Analyst at Strathmore Business SchoolView Jobs in Education / Teaching/View Jobs at Strathmore Business School:Dec 20, 2025Deadline:Dec 31, 2025SaveEmail",in computer science and working with agricultural or socioeconomic data is an added advantage.,N/A,https://www.myjobmag.co.ke/job/data-analyst-strathmore-business-school
Data Quality Analyst at Co-operative Bank of Kenya,View Jobs at Co-operative Bank of Kenya,"Data Quality Analyst at Co-operative Bank of KenyaView Jobs in Banking / Financial Services/View Jobs at Co-operative Bank of Kenya:Dec 20, 2025Deadline:Jan 7, 2026SaveEmail",5 years,N/A,https://www.myjobmag.co.ke/job/data-quality-analyst-co-operative-bank-of-kenya-3
Data Engineer at Jubilee Insurance,View Jobs at Jubilee Insurance,"Data Engineer at Jubilee InsuranceView Jobs in Insurance/View Jobs at Jubilee Insurance:Dec 20, 2025Deadline:Dec 31, 2025SaveEmail","in Python, particularly for data manipulation.",N/A,https://www.myjobmag.co.ke/job/data-engineer-jubilee-insurance-6
ICT Senior Officer – Data Architect and Developer at United Nations Office for Project Services (UNOPS),View Jobs at United Nations Office for Project Services (UNOPS),"ICT Senior Officer – Data Architect and Developer at United Nations Office for Project Services (UNOPS)View Jobs in NGO / Non-Profit Associations/View Jobs at United Nations Office for Project Services (UNOPS):Dec 20, 2025Deadline:Jan 5, 2026SaveEmail",2 - 4 years,N/A,https://www.myjobmag.co.ke/job/ict-senior-officer-data-architect-and-developer-united-nations-office-for-project-services-unops
Commercial Insights & Data Associate at Axmed,View Jobs at Axmed,"Commercial Insights & Data Associate at AxmedView Jobs in Pharmaceuticals/View Jobs at Axmed:Dec 19, 2025Deadline:Not specifiedSaveEmail",researching and integrating external market data sources,N/A,https://www.myjobmag.co.ke/job/commercial-insights-data-associate-axmed
Data Team Lead at IQVIA,View Jobs at IQVIA,"Data Team Lead at IQVIAView Jobs in Healthcare / Medical/View Jobs at IQVIA:Dec 19, 2025Deadline:Not specifiedSaveEmail",3 - 4 years,N/A,https://www.myjobmag.co.ke/job/data-team-lead-iqvia-6
Data Analyst (National) at Church World Service,View Jobs at Church World Service,"Data Analyst (National) at Church World ServiceView Jobs in NGO / Non-Profit Associations/View Jobs at Church World Service:Dec 17, 2025Deadline:Dec 31, 2025SaveEmail",using Microsoft Visual Studio 2016 in the context of SQL Server Reporting Services required.,N/A,https://www.myjobmag.co.ke/job/data-analyst-national-church-world-service
"Deputy Director, Registration and Data Management at Public Benefit Organizations Regulatory Authority",View Jobs at Public Benefit Organizations Regulatory Authority,"Deputy Director, Registration and Data Management at Public Benefit Organizations Regulatory AuthorityView Jobs in Government/View Jobs at Public Benefit Organizations Regulatory Authority:Dec 17, 2025Deadline:Jan 6, 2026SaveEmail",15 years,N/A,https://www.myjobmag.co.ke/job/deputy-director-registration-and-data-management-public-benefit-organizations-regulatory-authority
Data Science Trainer at Mediacrest Training College,View Jobs at Mediacrest Training College,"Data Science Trainer at Mediacrest Training CollegeView Jobs in Education / Teaching/View Jobs at Mediacrest Training College:Dec 16, 2025Deadline:Jan 5, 2026SaveEmail","with machine learning frameworks (Scikit-learn, TensorFlow, or PyTorch).",N/A,https://www.myjobmag.co.ke/job/data-science-trainer-mediacrest-training-college
Data Management Processor at ADEC Kenya Services EPZ Limited (ADEC Kenya),View Jobs at ADEC Kenya Services EPZ Limited (ADEC Kenya),"Data Management Processor at ADEC Kenya Services EPZ Limited (ADEC Kenya)View Jobs in ICT / Telecommunication/View Jobs at ADEC Kenya Services EPZ Limited (ADEC Kenya):Dec 16, 2025Deadline:Dec 30, 2025SaveEmail",2 years,N/A,https://www.myjobmag.co.ke/job/data-management-processor-adec-kenya-services-epz-limited-adec-kenya
Compliance and Data Protection Officer at Jubilee Insurance,View Jobs at Jubilee Insurance,"Compliance and Data Protection Officer at Jubilee InsuranceView Jobs in Insurance/View Jobs at Jubilee Insurance:Dec 16, 2025Deadline:Dec 23, 2025SaveEmail",2 years,N/A,https://www.myjobmag.co.ke/job/compliance-and-data-protection-officer-jubilee-insurance
Data Scientist at Standard Bank Group,View Jobs at Standard Bank Group,"Data Scientist at Standard Bank GroupView Jobs in Banking / Financial Services/View Jobs at Standard Bank Group:Dec 16, 2025Deadline:Not specifiedSaveEmail","Proven understanding of financial services data processes, systems, and products.  in technical business intelligence. Knowledge of IT infrastructure and data principles. Project management experience.",N/A,https://www.myjobmag.co.ke/job/data-scientist-standard-bank-group-5
Data Tech Incubation Intern - 1 Position at ICON Data and Learning Labs (IDL),View Jobs at ICON Data and Learning Labs (IDL),"Data Tech Incubation Intern - 1 Position at ICON Data and Learning Labs (IDL)View Jobs in Government/View Jobs at ICON Data and Learning Labs (IDL):Dec 16, 2025Deadline:Dec 19, 2025SaveEmail",,N/A,https://www.myjobmag.co.ke/job/data-tech-incubation-intern-1-position-icon-data-and-learning-labs-idl
Data Literacy Interns - 2 Positions at ICON Data and Learning Labs (IDL),View Jobs at ICON Data and Learning Labs (IDL),"Data Literacy Interns - 2 Positions at ICON Data and Learning Labs (IDL)View Jobs in Government/View Jobs at ICON Data and Learning Labs (IDL):Dec 16, 2025Deadline:Dec 19, 2025SaveEmail",,N/A,https://www.myjobmag.co.ke/job/data-literacy-interns-2-positions-icon-data-and-learning-labs-idl
Shamiri Hubs - Data and Tech Lead- Machakos at Shamiri Institute,View Jobs at Shamiri Institute,"Shamiri Hubs - Data and Tech Lead- Machakos at Shamiri InstituteView Jobs in NGO / Non-Profit Associations/View Jobs at Shamiri Institute:Dec 15, 2025Deadline:Dec 26, 2025SaveEmail",coordinating data processes across multiple locations/schools is desirable.,N/A,https://www.myjobmag.co.ke/job/shamiri-hubs-data-and-tech-lead-machakos-shamiri-institute
Shamiri Hubs - Data and Tech Lead- Muranga at Shamiri Institute,View Jobs at Shamiri Institute,"Shamiri Hubs - Data and Tech Lead- Muranga at Shamiri InstituteView Jobs in NGO / Non-Profit Associations/View Jobs at Shamiri Institute:Dec 15, 2025Deadline:Dec 26, 2025SaveEmail",coordinating data processes across multiple locations/schools is desirable.,N/A,https://www.myjobmag.co.ke/job/shamiri-hubs-data-and-tech-lead-muranga-shamiri-institute
Shamiri Hubs - Data and Tech Lead- Kiambu at Shamiri Institute,View Jobs at Shamiri Institute,"Shamiri Hubs - Data and Tech Lead- Kiambu at Shamiri InstituteView Jobs in NGO / Non-Profit Associations/View Jobs at Shamiri Institute:Dec 15, 2025Deadline:Dec 26, 2025SaveEmail",coordinating data processes across multiple locations/schools is desirable.,N/A,https://www.myjobmag.co.ke/job/shamiri-hubs-data-and-tech-lead-kiambu-shamiri-institute
Shamiri Hubs - Data and Tech Lead- Kisumu at Shamiri Institute,View Jobs at Shamiri Institute,"Shamiri Hubs - Data and Tech Lead- Kisumu at Shamiri InstituteView Jobs in NGO / Non-Profit Associations/View Jobs at Shamiri Institute:Dec 15, 2025Deadline:Dec 26, 2025SaveEmail",coordinating data processes across multiple locations/schools is desirable.,N/A,https://www.myjobmag.co.ke/job/shamiri-hubs-data-and-tech-lead-kisumu-shamiri-institute
